id,question
72,"Quelle est la signification de ""IST"" ?"
73,D'après le texte descriptif de la Graphe 23. quel est le taux d'augmentation des étudiants bénéficiaires de bourses ?
74,Quel était le taux de réussite en L3 (PUBLIC) en 2016 ?
75,Quel est le total d'enseignants vacataires à IST TANA en 2022 ?
76,Combien de diplômés de niveau M étaient à CNTEMAD en 2017 ?
77,Quel était le taux de réussite en Doctorat (PUBLIC) en 2017 ?
78,Quel est le pourcentage de PAT à Fianarantsoa en 2022 d'après la Graphe 36 ?
79,Quel était le nombre de nouveaux bacheliers inscrits dans les universités en 2018 ?
80,Quel est le total d'enseignants vacataires pour les IST en 2020 ?
81,D'après le texte. quelle est la part des domaines Arts. Lettres. Sciences Humaines (ALSH) ?
82,"Quel était le total d'étudiants boursiers inscrits dans les ""6 UNIV"" en 2017 ?"
83,Quel est le nombre de chercheurs enseignants féminins au FOFIFA en 2022 d'après la Graphe 50 ?
84,Quel était le total d'étudiants étrangers inscrits dans le Total PUBLIC en 2017 ?
85,D'après le texte descriptif de la Graphe 49. combien d'étudiants sont encadrés par un enseignant dans le domaine des Sciences de la Société ?
86,Combien de PAT étaient inscrits à l'IST en 2017 ?
87,Quel était le total S/T en 2018 ?
88,Quel était le taux de réussite en Ensemble (PRIVÉ) en 2016 ?
89,Quel était le total des enseignants vacataires masculins dans l'ENSEMBLE en 2022 ?
90,"Quel était le total de PAT féminins dans ""PUB + PRIVES"" en 2022 ?"
91,Combien d'étudiants étrangers asiatiques étaient inscrits en 2020 ?
92,Quel est le titre du Tableau 09 ?
93,Quel est le nombre d'étudiants boursiers féminins à Toamasina en 2022 d'après la Graphe 24 ?
94,Quel domaine est représenté par la ligne jaune dans la Graphe 25 ?
95,Quel était le total des enseignants vacataires pour l'ISP PRIVE en 2019 ?
96,Quel est le pourcentage d'étudiants inscrits dans le domaine STECH en 2022 d'après la Graphe 13 ?
97,D'après la Graphe 26. quelle est la proportion d'enseignants masculins dans le domaine SE en 2022 ?
98,Combien d'étudiants étaient inscrits dans les Facultés (ensemble) en 2019 ?
99,Quel est le pourcentage de diplômés de grade Master (M) en 2020 d'après la Graphe 43 ?
100,Quel était le nombre d'étudiants inscrits dans la région DIANA (public) en 2022 ?
101,Quel est le nombre d'enseignants vacataires féminins à Antananarivo en 2022 ?
102,D'après le texte descriptif. quelle a été la diminution du nombre d'enseignants observée en 2020 ?
103,Quel est le titre de la Graphe 36 ?
104,Quel grade représentait la barre bleue foncé en 2020 dans la Graphe 27 ?
105,Combien d'étudiants étaient inscrits dans la région Sava (public) en 2020 ?
106,"D'après la Graphe 53. quel est le pourcentage du budget attribué au ""PIP EXTERNE"" en 2022 ?"
107,Quel était le total ENSEMBLE en 2019 ?
108,Quel était le nombre de diplômés du secteur privé en 2017 d'après la Graphe 42 ?
109,D'après la Graphe 28. quel est le pourcentage d'enseignants de grade A en 2022 ?
110,D'après la Graphe 37. comment évoluent les effectifs féminins (public) de PAT entre 2017 et 2022 ?
111,D'après la Graphe 38. quelle catégorie de PAT à l'IES Public avait le plus grand effectif en 2022 ?
112,Combien d'étudiants doctorants étaient inscrits à Toliara en 2017 ?
113,Quel était le nombre total d'admis en 2021 ?
114,D'après le texte descriptif. quelle est la tendance des effectifs du PAT dans l'Enseignement Privé de 2019 à 2022 ?
115,Quel est le sujet de la Graphe 10 ?
116,Quel était le total des enseignants vacataires à Fianarantsoa en 2022 ?
117,Quel était le nombre total d'étudiants inscrits dans le privé en 2017 ?
118,Quel est le nom de l'établissement correspondant au numéro 5 ?
119,Combien d'étudiants étaient inscrits dans les Facultés (total PUBLIC) en 2022 ?
120,Quel était le taux de réussite en M2 (PUBLIC) en 2016 ?
121,D'après la Graphe 44. quelle ligne représente le taux de Promotion (P) ?
122,D'après le texte descriptif de la Graphe 28. quel est le pourcentage d'enseignants permanents PT ?
123,D'après le texte descriptif de la Graphe 26. quelle est la proportion d'enseignants masculins dans les sciences de l'ingénieur ?
124,Combien d'étudiants étaient inscrits dans l'Ensemble PRIVES en 2018 ?
125,"D'après la Graphe 53. quel est le pourcentage du budget attribué au ""TRANSFERT"" en 2022 ?"
126,Quel était le nombre d'étudiants inscrits dans la région Atsimo Andrefana (privé) en 2022 ?
127,"Quel était le nombre total d'étudiants doctorants inscrits dans les ""Ensemble 6 universités"" en 2018 ?"
128,Combien d'étudiants étaient inscrits à Toliara en 2017 ?
129,Quelle est la tendance du taux brut de scolarisation entre 2017 et 2022 d'après la Graphe 46 ?
130,Quel était le nombre d'enseignants permanents dans le domaine STECH en 2019 ?
131,Quel était le taux de réussite en L3 (PUBLIC) en 2019 ?
132,Quel était le nombre d'étudiants pour 100 000 habitants en 2020 ?
133,"Quel était le taux d'évolution du programme ""028"" en 2020 ?"
134,Quel était le total d'étudiants étrangers inscrits dans le Total PRIVÉ en 2017 ?
135,D'après le texte descriptif. quelle est la proportion d'enseignants de moins de 30 ans ?
136,Quel était le taux de réussite en M2 (PRIVÉ) en 2016 ?
137,D'après le texte. quel était le taux d'augmentation du nombre d'étudiants entre 2017 et 2022 ?
138,Quel était le nombre d'enseignants permanents de grade P en 2020 ?
139,Quel est le titre de la Graphe 47 ?
140,Combien d'étudiants étaient inscrits en M2 en 2022 ?
141,Quel est le total d'enseignants vacataires pour l'ISP PRIVE en 2020 ?
142,"Quel était le taux de Promotion pour les ""6 Universités"" en 2020 ?"
143,D'après le texte. quel était le pourcentage de doctorants affiliés à l'Université d'Antananarivo en 2022 ?
144,Combien de PAT étaient inscrits à Fianarantsoa en 2017 ?
145,Quel est le nombre de chercheurs enseignants masculins au PBZT en 2022 d'après la Graphe 50 ?
146,D'après le texte descriptif de la Graphe 25. quel domaine affiche le taux le plus bas ?
147,Quelle est la section numérotée 4 ?
148,Combien y avait-il d'étudiants dans l'Ensemble PRIVES en 2022 ?
149,Combien d'étudiants boursiers étaient inscrits à Toamasina en 2022 ?
150,Quel était le nombre d'étudiants étrangers inscrits dans le privé en 2018 d'après la Graphe 20 ?
151,Combien d'étudiants étrangers étaient inscrits à Mahajanga en 2022 ?
152,Combien de PAT étaient inscrits à Toliara en 2022 ?
153,"Quel était le taux de Redoublement pour ""ENSEMBLE"" en 2020 ?"
154,Combien de PAT étaient inscrits à l'IST en 2019 ?
155,Combien de PAT féminins étaient inscrits à Antsiranana en 2018 ?
156,"D'après la Graphe 47. comment évolue le ratio ""étudiants / PAT - Privé"" de 2017 à 2022 ?"
157,Quel est le titre de la Graphe 40 ?
158,Quel était le nombre d'étudiants inscrits au CNTEMAD en 2022 ?
159,Quel est le titre de la Graphe 18 ?
160,Quel était le nombre d'étudiants inscrits dans la région Bongolova (privé) en 2022 ?
161,Quel était le nombre d'enseignants permanents dans le domaine STECH en 2020 ?
162,Quel est le sujet de la Graphe 53 ?
163,D'après le texte descriptif de la Graphe 26. quelle est la proportion d'enseignants masculins dans les sciences et technologies ?
164,Quel est le sujet de la Graphe 02 ?
165,Combien d'étudiants étaient inscrits en M1 en 2020 ?
166,"Quel était le nombre de PAT à Toliara dans la catégorie ""II"" en 2022 ?"
167,D'après le texte descriptif du Tableau 29. comment a varié ce taux entre 2016 et 2022 ?
168,"Quel était le taux d'Abandon pour ""ENSEMBLE"" en 2020 ?"
169,Quel est le titre du Tableau 25 ?
170,Quel était le taux de réussite en L1 (PRIVÉ) en 2017 ?
171,Quel est le pourcentage d'enseignants vacataires à Antananarivo en 2022 d'après la Graphe 33 ?
172,Combien d'étudiants étrangers d'autres nationalités étaient inscrits en 2022 ?
173,Quelle est la source du Tableau 26 ?
174,"Quel était le total de PAT féminins dans les ""total 6 universités"" en 2020 ?"
175,"Quel était le taux d'évolution du programme ""310"" en 2022 ?"
176,Quel est le pourcentage d'étudiants boursiers à Toamasina en 2022 d'après la Graphe 22 ?
177,Quel est le titre de la Graphe 21 ?
178,Quel était le total ENSEMBLE en 2022 ?
179,"Quel était le ratio ""étudiants / PAT - Public"" en 2022 ?"
180,Quel est le nombre de chercheurs enseignants masculins à l'IMVAVET en 2022 d'après la Graphe 50 ?
181,"Quel était le taux d'Abandon pour ""3 IST"" en 2016 ?"
182,Combien d'étudiants étrangers étaient inscrits à Mahajanga en 2020 ?
183,Quel était le nombre d'étudiants pour 100 000 habitants en 2019 ?
184,Quelle est la source du Tableau 23 ?
185,Quel est le titre du Tableau 17 ?
186,Quel était le nombre total d'étudiants étrangers inscrits dans le public en 2018 ?
187,Quel est le titre de la Graphe 27 ?
188,Combien d'étudiants boursiers étaient inscrits à Mahajanga en 2020 ?
189,"D'après la Graphe 48. quelle ligne représente le ratio ""étudiants / PE"" ?"
190,Quel domaine est représenté par la ligne verte dans la Graphe 25 ?
191,Combien d'étudiants boursiers étaient inscrits à Mahajanga en 2022 ?
192,Quel est le pourcentage d'enseignants vacataires à Diégo en 2022 d'après la Graphe 33 ?
193,D'après le texte descriptif de la Graphe 44. sur 100 étudiants inscrits. combien obtiennent leur promotion ?
194,Combien d'étudiants étaient inscrits dans la région Analamanga (privé) en 2020 ?
195,Quel était le taux de réussite en M2 pour le PRIVÉ en 2020 ?
196,Quel était le taux de réussite en M2 (PRIVÉ) en 2018 ?
197,Combien de PAT étaient inscrits à Antananarivo en 2019 ?
198,Quel était le taux de réussite en L2 (PRIVÉ) en 2018 ?
199,Combien d'étudiants comoriens étaient inscrits en 2020 ?
200,Quelles sont les institutions supérieures publiques dans la région Haute Matsiatra ?
201,"Quel était le taux de Promotion pour les ""6 Universités"" en 2016 ?"
202,"D'après la Graphe 30. quel est le nombre d'enseignants féminins dans la tranche d'âge ""[50 - 55["" en 2022 ?"
203,Quel était le nombre d'enseignants à IST AMBOSITRA en 2020 ?
204,Quel est le total d'enseignants vacataires féminins dans les 6 universités en 2020 ?
205,Combien d'étudiants étrangers étaient inscrits à Toliara en 2020 ?
206,Combien d'étudiants étaient inscrits en Doctorat en 2022 ?
207,Quel était le taux d'enseignants à IST DIEGO en 2017 ?
208,Quel grade représentait la barre orange foncée en 2022 dans la Graphe 27 ?
209,Quel était le nombre d'étudiants pour 100 000 habitants en 2022 ?
210,Combien d'enseignants étaient inscrits à IST TANA en 2021 ?
211,D'après la Graphe 51. quel est le pourcentage de chercheurs enseignants du PBZT en 2022 ?
212,Quelle tendance observe-t-on pour le nombre d'inscrits entre 2018 et 2020 ?
213,Combien d'étudiants boursiers étaient inscrits à Antsiranana en 2018 ?
214,Quel était le taux de réussite en L2 (PUBLIC) en 2017 ?
215,Quel était le total S/T pour les IST en 2019 ?
216,Quel est le titre du Tableau 11 ?
217,Combien d'étudiants de 36 à 39 ans étaient inscrits dans le public en 2018-2019 ?
218,Quel était le nombre d'étudiants inscrits dans la région Analamanga (public) en 2022 ?
219,D'après la Graphe 44. quelle était la tendance du taux d'abandon entre 2016 et 2020 ?
220,"Quel était le ratio ""étudiants / PE - Public"" en 2017 ?"
221,Quel était le total d'enseignants permanents en 2021 ?
222,Quel était le taux de réussite en M1 (PRIVÉ) en 2020 ?
223,Combien d'étudiants étaient inscrits dans les Ecoles (total PRIVÉ) en 2022 ?
224,"Quel était le taux de Promotion pour ""CNTEMAD"" en 2020 ?"
225,Combien d'enseignants permanents de grade MC travaillaient en 2022 ?
226,"Quel était le taux de Redoublement pour les ""6 Universités"" en 2020 ?"
227,Quel est le titre de la section 4 ?
228,Quel est le pourcentage d'étudiants inscrits dans le domaine des sciences de l'ingénieur (SI) d'après le texte descriptif de la Graphe 11 ?
229,Combien d'étudiants étaient inscrits dans la région Atsimo Atsinanana (privé) en 2019 ?
230,D'après le texte. quel est le taux d'étudiants qui intègrent les écoles et les centres ?
231,Quel était le total d'étudiants boursiers inscrits en ENSEMBLE en 2020 ?
232,Quelle est la source du Tableau 17 ?
233,"D'après la Graphe 30. quel est le nombre d'enseignants féminins dans la tranche d'âge ""Plus de 60 ans"" en 2022 ?"
234,Combien d'étudiants étaient inscrits dans la région Ihorombe (public) en 2022 ?
235,D'après le texte. qu'est-ce que l'indicateur montre concernant la densité d'étudiants ?
236,"D'après la Graphe 53. quel est le pourcentage du budget attribué au ""PIP INTERNE"" en 2022 ?"
237,D'après le texte situé au-dessus de la Graphe 51. dans quelles institutions les femmes sont majoritaires ?
238,"D'après la Graphe 53. quel est le pourcentage du budget attribué à ""INDEMNITE"" en 2022 ?"
239,D'après le texte descriptif de la Graphe 15. quelle est la proportion des étudiants qui intègrent les facultés de l'université ?
240,Combien d'étudiants étrangers étaient inscrits à Toliara en 2017 ?
241,Combien d'étudiants étrangers d'autres nationalités étaient inscrits en 2019 ?
242,D'après la Graphe 19. quelle est la proportion d'étudiants dans le privé dans la région Vakinankaratra en 2022 ?
243,Combien d'élèves ont été admis en série S en 2022 ?
244,D'après la Graphe 19. quelle est la proportion d'étudiants dans le privé dans la région Androy en 2022 ?
245,D'après la Graphe 19. quelle est la proportion d'étudiants dans le public dans la région Ihorombe en 2022 ?
246,Combien de PAT étaient inscrits à Toamasina en 2022 ?
247,Combien de PAT étaient inscrits à Antsiranana en 2022 ?
248,Quel était le taux d'enseignants à IST AMBOSITRA en 2017 ?
249,Quel était le taux d'enseignants à IST DIEGO en 2022 ?
250,Quel était le total général d'étudiants inscrits en 2022 ?
251,Quel était le total d'étudiants inscrits en 2017 ?
252,Quelle était la population totale en 2018 ?
253,Combien de PAT étaient inscrits au CNTEMAD en 2019 ?
254,"Quel était le total de PAT dans les ""ENSEMBLE PRIVÉS"" en 2020 ?"
255,D'après la Graphe 44. quelle était la tendance du taux de redoublement entre 2016 et 2020 ?
256,D'après le texte descriptif de la Graphe 25. quelle est la proportion des enseignants permanents dans le domaine des Arts. Lettres. Sciences Humaines ?
257,Quel était le nombre d'enseignants permanents de grade PT en 2020 ?
258,D'après le texte descriptif de la Graphe 42. comment évolue l'effectif à l'IES Privé ?
259,Quel était le taux de réussite à l'examen à Fianarantsoa en 2020 d'après la Graphe 40 ?
260,Combien d'enseignants permanents travaillaient dans le domaine SE en 2018 ?
261,Combien d'étudiants étaient inscrits en M2 en 2022 ?
262,Combien d'étudiants boursiers étaient inscrits à Toliara en 2017 ?
263,Combien d'enseignants permanents de grade PT travaillaient en 2017 ?
264,Combien de PAT étaient inscrits à Toamasina en 2019 ?
265,D'après la Graphe 19. quelle est la proportion d'étudiants dans le public dans la région DIANA en 2022 ?
266,Que montre la Graphe 44 ?
267,Combien d'étudiants étrangers étaient inscrits à Toamasina en 2022 ?
268,Quel était le total d'étudiants boursiers inscrits en ENSEMBLE en 2017 ?
269,Quel était le TBS (Taux Brut de Scolarisation) en 2019 ?
270,Quel était le total d'étudiants inscrits en 2019 ?
271,"Combien y avait-il d'étudiants inscrits dans les ""6 UNIVERSITES"" en 2017 ?"
272,D'après le texte descriptif de la Graphe 53. à quelles dépenses le taux le plus élevé (65.3%) est-il attribué ?
273,D'après la Graphe 31. quelle université représente la plus grande proportion d'enseignants en 2022 ?
274,Quel était le taux de transition des nouveaux bacheliers vers la première année universitaire dans les institutions supérieures privées en 2017 ?
275,Quel est le sujet de la Graphe 04 ?
276,Quel était le taux de réussite en M2 (PRIVÉ) en 2019 ?
277,D'après la Graphe 31. quelle est la proportion d'enseignants à Toamasina en 2022 ?
278,Quel est le titre de la Graphe 35 ?
279,Quel est le titre de la Graphe 13 ?
280,Combien de PAT étaient inscrits à Antananarivo en 2022 ?
281,D'après la Graphe 37. comment évoluent les effectifs féminins (privé) de PAT entre 2017 et 2022 ?
282,Quelle est la période couverte par la Graphe 01 ?
283,D'après le texte. quelle est la proportion moyenne d'étudiants inscrits au troisième cycle ?
284,"Quel était le taux d'Abandon pour ""3 IST"" en 2020 ?"
285,"Quel était le taux d'évolution du programme ""310"" en 2021 ?"
286,Quel était le nombre d'enseignants permanents de grade MC en 2021 ?
287,Combien d'étudiants étaient inscrits dans la région Bongolova (privé) en 2018 ?
288,Quel était le nombre d'étudiants inscrits dans la région Ihorombe (public) en 2022 ?
289,D'après le texte descriptif de la Graphe 27. quel était le pourcentage d'enseignants permanents PT entre 2017 et 2022 ?
290,"Quel était le total d'étudiants étrangers inscrits dans les ""TOTAL 6 Universités"" en 2018 ?"
291,D'après le texte. quel était le taux de participation à l'enseignement supérieur pour les institutions privées ?
292,Quel était le taux de réussite en M1 (PUBLIC) en 2018 ?
293,Quel était le nombre d'étudiants inscrits dans la région Sofia (public) en 2022 ?
294,Combien de PAT étaient inscrits à Fianarantsoa en 2022 ?
295,Combien d'étudiants étaient inscrits en L1 en 2022 ?
296,Quel est le total d'enseignants vacataires à IST DIEGO en 2022 ?
297,Quel était le nombre d'étudiants boursiers à l'ESUP en 2017 d'après la Graphe 23 ?
298,Quelle est la source du Tableau 29 ?
299,Combien d'enseignants permanents de grade A travaillaient en 2020 ?
300,Quel est le titre du Tableau 30 ?
301,Quel était le nombre d'étudiants étrangers inscrits dans le public en 2017 d'après la Graphe 20 ?
302,D'après le texte descriptif. quelles universités répartissent les autres enseignants ?
303,Combien de PAT étaient inscrits au CNTEMAD en 2020 ?
304,Combien d'étudiants étrangers comoriens étaient inscrits en 2021 ?
305,Combien d'enseignants vacataires féminins étaient inscrits à l'ISP Privé en 2022 ?
306,Que représente la Graphe 16 ?
307,Quel était le taux de réussite en M2 (PRIVÉ) en 2020 ?
308,Combien d'enseignants étaient inscrits à Antsiranana en 2018 ?
309,"D'après la Graphe 29. quel est le pourcentage d'enseignants dans la tranche d'âge ""Plus de 60 ans"" en 2022 ?"
310,"Quel était le ratio ""étudiants / PAT"" en 2022 d'après la Graphe 48 ?"
311,Combien d'étudiants étrangers asiatiques étaient inscrits en 2019 ?
312,Combien d'étudiants masculins étaient inscrits dans les universités en 2017 ?
313,Combien d'étudiants étaient inscrits dans le domaine SSTE en 2022 ?
314,Quel est le pourcentage d'étudiants inscrits dans le domaine des sciences et technologies (STECH) d'après le texte descriptif de la Graphe 11 ?
315,Quel était le pourcentage d'étudiants masculins dans la série de Toamasina en 2022 d'après la Graphe 16 ?
316,"Quel était le ratio ""étudiants / PAT - Privé"" en 2022 ?"
317,Quel est le pourcentage d'admis en série C au baccalauréat en 2022 ?
318,Combien d'étudiants de moins de 18 ans étaient inscrits dans le public en 2016-2017 ?
319,Quel était le taux de réussite en Ensemble (PRIVÉ) en 2018 ?
320,Quel est le nombre de chercheurs enseignants masculins au CIDST en 2022 d'après la Graphe 50 ?
321,Quel était le nombre total S/T en 2019 ?
322,Quel est le nombre d'enseignants vacataires féminins à Toliara en 2022 ?
323,Quel est le pourcentage d'admis en série D au baccalauréat en 2022 ?
324,Combien d'enseignants étaient inscrits à IST AMBOSITRA en 2018 ?
325,Quel était le taux de réussite en Ensemble (PUBLIC) en 2018 ?
326,Quel était le nombre d'enseignants permanents de grade P en 2021 ?
327,"Quel était le nombre de PAT à IST TANA dans la catégorie ""IV"" en 2022 ?"
328,Quel est le titre du Tableau 06 ?
329,Quel est le titre du Tableau 23 ?
330,Quel est le titre de la Graphe 51 ?
331,Quel était le nombre d'étudiants inscrits dans la région Amoron'i Mania (public) en 2022 ?
332,"Quel était le taux de réussite pour le ""TOTAL PUBLIC"" en 2016 d'après la Graphe 39 ?"
333,"Que signifie ""FOFIFA"" ?"
334,Quel était le nombre d'étudiants inscrits à l'IST en 2020 ?
335,Quel domaine est représenté par la ligne bleue dans la Graphe 25 ?
336,Combien de PAT étaient inscrits à Fianarantsoa en 2019 ?
337,Quel est le titre de la Graphe 42 ?
338,Quelle est la série universitaire représentant le plus grand pourcentage d'étudiants inscrits en 2022 ?
339,Que présente la Graphe 42 ?
340,Combien d'enseignants permanents avaient entre 30 et 35 ans en 2022 ?
341,Quel est le pourcentage de diplômés de grade Doctorat (D) en 2020 d'après la Graphe 43 ?
342,Quel est le nombre de chercheurs enseignants masculins au CNRO en 2022 d'après la Graphe 50 ?
343,Quel était approximativement le pourcentage d'Instituts en 2022 ?
344,D'après la Graphe 26. quelle est la proportion d'enseignants masculins dans le domaine STECH en 2022 ?
345,Combien d'étudiants étaient inscrits à Toamasina en 2018 ?
346,Quel était le nombre total d'étudiants inscrits en 2018 ?
347,Quel était le taux de réussite en M1 pour le PRIVÉ en 2020 ?
348,Quel était le nombre total d'étudiants inscrits au CNTEMAD en 2017 ?
349,D'après la Graphe 19. quelle est la proportion d'étudiants dans le public dans la région Vatovavy Fitovinanv en 2022 ?
350,Combien d'étudiants étaient inscrits dans la région Atsinanana (public) en 2020 ?
351,Quel était le nombre total ENSEMBLE en 2021 ?
352,Quel est le titre du Tableau 23 ?
353,D'après la Graphe 34. quelle est la proportion d'enseignants vacataires masculins à l'ISP Privé en 2022 ?
354,Quel était le taux de réussite en L2 (PRIVÉ) en 2017 ?
355,Quel grade a connu une tendance générale à la baisse entre 2017 et 2022 ?
356,D'après la Graphe 19. quelle est la proportion d'étudiants dans le public dans la région Sofia en 2022 ?
357,Quel est le titre du Tableau 14 ?
358,Quel est le nombre d'étudiants boursiers masculins à Toamasina en 2022 d'après la Graphe 24 ?
359,Quel est le sujet de la Graphe 48 ?
360,Combien de PAT étaient inscrits à Antsiranana en 2018 ?
361,Quel était le nombre total ENSEMBLE en 2018 ?
362,Quel était le ratio ETU/PE pour le domaine SSTE en 2022 ?
363,Combien d'étudiants de 22 à 23 ans étaient inscrits dans le privé en 2019-2020 ?
364,D'après la Graphe 28. quel est le pourcentage d'enseignants de grade PT en 2022 ?
365,Quel était le taux de réussite en L1 (PRIVÉ) en 2018 ?
366,Quel était le total d'étudiants boursiers inscrits en ENSEMBLE en 2022 ?
367,Combien y avait-il d'étudiants dans l'ENSEMBLE SYSTEME en 2020 ?
368,"Quel était le nombre de PAT à IST DIEGO dans la catégorie ""VII"" en 2022 ?"
369,"D'après la Graphe 29. quel est le pourcentage d'enseignants dans la tranche d'âge ""Moins de 30 ans"" en 2022 ?"
370,Quelle est la source du Tableau 21 ?
371,"Quel était le nombre total d'étudiants inscrits dans les ""Total 6 universités"" en 2018 ?"
372,Combien d'étudiants étaient inscrits dans la région Vakinankaratra (public) en 2017 ?
373,"Quel était le total de PAT dans les ""total universités"" dans la catégorie ""IX"" en 2022 ?"
374,D'après la Graphe 26. quelle est la proportion d'enseignants féminins dans le domaine SSTE en 2022 ?
375,Quel était le total d'étudiants boursiers inscrits en ENSEMBLE en 2021 ?
376,Quelles sont les institutions supérieures publiques dans la région Analamanga ?
377,Quel était le total S/T pour les IST en 2017 ?
378,Combien d'enseignants permanents travaillaient dans le domaine STECH en 2017 ?
379,D'après le texte descriptif de la Graphe 24. quelle université a la proportion d'étudiants boursiers masculins plus élevée ?
380,Combien de PAT étaient inscrits au CNTEMAD en 2022 ?
381,D'après la Graphe 19. quelle est la proportion d'étudiants dans le privé dans la région Sava en 2022 ?
382,Quel était le nombre d'étudiants inscrits dans la région DIANA (privé) en 2022 ?
383,D'après la Graphe 28. quel grade représente le plus grand pourcentage d'enseignants en 2022 ?
384,Quel était le nombre total S/T en 2017 ?
385,Quel était le nombre d'étudiants inscrits au CNTEMAD en 2018 ?
386,D'après le texte descriptif. quel est l'âge moyen des enseignants ?
